ID=Gene,ID=NZ_JH376883_1_6_1,99.497,100
ID=Gene,ID=NZ_JH376883_1_7_1,98.611,100
ID=NZ_DS480690_1_82_1,ID=NZ_JH376883_1_8_1,88.272,99
ID=NZ_DS480690_1_83_1,ID=NZ_JH376883_1_9_1,100,98
ID=NZ_DS480690_1_84_1,ID=NZ_JH376883_1_10_1,98.077,98
ID=NZ_DS480690_1_85_1,ID=NZ_JH376883_1_11_1,96.809,99
ID=NZ_DS480690_1_86_1,ID=NZ_JH376883_1_12_1,99.234,99
ID=NZ_DS480690_1_87_1,ID=NZ_JH376883_1_13_1,95.425,99
ID=NZ_DS480690_1_88_1,ID=NZ_JH376883_1_14_1,100,98
ID=NZ_DS480690_1_89_1,ID=NZ_JH376883_1_15_1,40.385,78
ID=NZ_DS480690_1_90_1,ID=NZ_JH376883_1_16_1,45.455,100
,ID=NZ_JH376883_1_17_1,0,0
ID=NZ_DS480690_1_91_1,ID=NZ_JH376883_1_18_1,46.753,93
,ID=NZ_JH376883_1_19_1,0,0
ID=NZ_DS480690_1_92_1,ID=NZ_JH376883_1_20_1,97.436,98
ID=NZ_DS480690_1_93_1,ID=NZ_JH376883_1_21_1,100,99
ID=NZ_DS480690_1_94_1,ID=NZ_JH376883_1_22_1,98.837,99
ID=NZ_DS480690_1_95_1,ID=NZ_JH376883_1_23_1,100,99
